"feature_id","estimate_P_MCI_vs_S_MCI","se","t","p_value","fdr","n_subjects","df_residual","symbol"
"ENSG00000276116",-0.249345024555804,0.0822349707827213,-3.03210449499174,0.0039087323170705,0.928180260175504,52,48,"FUT8-AS1"
"ENSG00000222724",-0.0544423279190826,0.0179612788395748,-3.0310941890801,0.0039196993365166,0.928180260175504,52,48,"RNU2-63P"
"ENSG00000238000",-0.154194768371225,0.050944475661594,-3.02672206100395,0.0039674924713853,0.928180260175504,52,48,"PSME2P1"
"ENSG00000259073",-0.111377762571966,0.0368149486469646,-3.02534070168122,0.0039827056334221,0.928180260175504,52,48,"FOXN3-AS2"
"ENSG00000184305",-0.263010473159119,0.0869398685440451,-3.02519980261845,0.0039842604464392,0.928180260175504,52,48,"CCSER1"
"ENSG00000226080",0.0203005572506237,0.0067303835533124,3.01625562493131,0.0040841301301481,0.928180260175504,52,48,"RPL6P4"
"ENSG00000228495",-0.341331197601506,0.11317982167421,-3.01583084822341,0.0040889309315834,0.928180260175504,52,48,"LINC01013"
"ENSG00000271926",0.0393046351499775,0.0130412375180427,3.0138731156149,0.0041111254510696,0.928180260175504,52,48,""
"ENSG00000254859",0.405434830199177,0.134649402021086,3.01104070358728,0.004143435687251,0.928180260175504,52,48,""
"ENSG00000275092",-0.138603879620199,0.0461662783908942,-3.00227535012953,0.0042449365470391,0.928180260175504,52,48,""
"ENSG00000204220",-0.171174013074686,0.0571471892602202,-2.99531814758628,0.0043271498437828,0.928180260175504,52,48,"PFDN6"
"ENSG00000092850",-0.587839330949735,0.196647808651189,-2.98930018585885,0.0043994625059254,0.928180260175504,52,48,"TEKT2"
"ENSG00000249131",-0.0404694318699472,0.0135537493216789,-2.98584774658753,0.0044414557727335,0.928180260175504,52,48,"PSD2-AS1"
"ENSG00000273284",-0.213510621300829,0.0716353376411478,-2.9805209039482,0.0045069835331967,0.928180260175504,52,48,""
"ENSG00000166503",0.281794729670297,0.0946523140757217,2.97715626313015,0.0045488376793786,0.928180260175504,52,48,"HDGFL3"
"ENSG00000261588",0.0310068033086094,0.0104247034224488,2.97435831525321,0.0045839186978793,0.928180260175504,52,48,""
"ENSG00000258344",0.138777119672409,0.0467101012719809,2.9710301603575,0.0046259765296472,0.928180260175504,52,48,""
"ENSG00000170122",-0.16553268345676,0.0557183827402318,-2.97088097887729,0.0046278701453044,0.928180260175504,52,48,"FOXD4"
"ENSG00000270390",-0.071987158109626,0.0242533387486092,-2.968133948723,0.004662868852497,0.928180260175504,52,48,"SFXN4P1"
"ENSG00000216866",-0.14101525053859,0.0476658552763028,-2.95841225802354,0.0047887232794804,0.928180260175504,52,48,"RPS2P55"
"ENSG00000007908",-0.0370098465993876,0.012512806013102,-2.9577575613843,0.0047973117355535,0.928180260175504,52,48,"SELE"
"ENSG00000264943",-0.195442670854754,0.0660986579548161,-2.95683266350665,0.0048094692502926,0.928180260175504,52,48,"SH3GL1P2"
"ENSG00000285458",-0.136952413215299,0.0463291627529812,-2.95607356311411,0.0048194688799845,0.928180260175504,52,48,"C4orf36"
